Episode,ExecutionTime,Energy,Memory,TaskSuccessRate
1,9.37308922792459,1.0209765117734073,0.5516780426589827,0.5294117647058824
2,9.389407029008456,1.017992071404681,0.5681235658461834,0.7105263157894737
3,6.785384924680906,1.0089837141863076,0.5094898989996898,0.625
4,7.829355017067265,1.0183698494403286,0.5992540822579826,0.7575757575757576
5,8.45986099703256,1.017529720405561,0.5007022884478489,0.7222222222222222
6,7.679575957526017,1.013130227046562,0.5271706108011891,0.8857142857142857
7,8.708378663869574,1.0303588647497954,0.5514088279368041,0.7096774193548387
8,9.090106147544143,1.0204143748873116,0.5879041659267829,0.9444444444444444
9,7.595838957232126,1.0033436787435892,0.5670832644395118,0.9393939393939394
10,9.65196638787116,1.0040338033080742,0.5498475045699784,0.9166666666666666
11,9.337457684505548,1.0002236187903621,0.5405250822807766,0.9411764705882353
12,9.659275699380686,1.038845059530522,0.5642063173914701,0.8947368421052632
13,8.358247136881397,1.017164208572186,0.5217684376036619,0.9714285714285714
14,7.87565291723156,1.005231161352086,0.5121893854762729,0.9393939393939394
15,8.089323652914167,1.012020599166096,0.6079967007047932,0.9428571428571428
16,7.975818333293032,1.010915140173694,0.5256051733116629,0.9722222222222222
17,8.156417020452526,1.0094015650593071,0.5587445290483751,0.9714285714285714
18,10.361864141183988,1.0180673742763058,0.5241860574710081,0.972972972972973
19,8.162600700750106,1.0241321104118997,0.5197380708256574,1.0
20,7.477983488080443,1.0120603739259617,0.5200896856518855,1.0
21,8.3361547530488,1.0160916001075646,0.5523816182613699,0.9705882352941176
22,6.723395377461953,1.0179311037851737,0.5576109629502558,0.9666666666666667
23,8.616778184606966,1.0016107236998113,0.6050621339592932,0.9142857142857143
24,7.221402090794598,1.0102687715071457,0.5614799740118737,0.9705882352941176
25,9.882182511068583,1.0014348335089447,0.5304590639519235,0.9736842105263158
26,9.904105529318416,1.0413071636962663,0.5618676187328419,0.9722222222222222
27,7.996221011501646,1.023961119805247,0.5681916017611063,1.0
28,8.080242894754104,1.008099226224538,0.572636697220885,0.9714285714285714
29,9.021005320017691,1.002884673530641,0.5417929506509941,0.9736842105263158
30,9.173474633916065,1.0328272947165351,0.5254764694673303,1.0
